#swIndx inPort srcIP   dstIP   tag	outPort		//for now we only forward based on ip and a tag field (used only for proxy: 0 (miss), 1 (hit))
0	1	0	1	0	2
0	2	3	1	1	4
0	2	3	1	4	4
0	2	3	0	2	4
0	2	3	0	3	1
0	2	3	0	4	1
0	4	3	0	5	1
0	4	1	3	0	2
0	1	0	2	0	4
1	5	3	0	1	6
1	5	3	0	2	6
1	5	3	1	1	6
1	5	3	1	4	6
1	6	3	0	5	5
1	6	3	1	5	8
1	8	1	3	0	5
1	8	1	3	1	5
1	8	1	3	2	5
1	8	1	3	3	5
1	8	1	3	4	5
1	8	1	3	5	5
1	5	0	2	0	6
1	6	0	2	5	8
2	9	3	1	0	10
2	9	3	1	1	10
2	9	3	1	2	10
2	9	3	1	3	10
2	9	3	1	4	10
2	9	3	1	5	10
2	12	1	3	0	10
2	12	1	3	1	10
2	12	1	3	2	10
2	12	1	3	3	10
2	12	1	3	4	10
2	12	1	3	5	10
2	10	1	3	0	9
2	10	1	3	1	9
2	10	1	3	2	9
2	10	1	3	3	9
2	10	1	3	4	9
2	10	1	3	5	9
2	10	3	1	0	12
2	10	3	1	1	12
2	10	3	1	2	12
2	10	3	1	3	12
2	10	3	1	4	12
2	10	3	1	5	12
2	9	0	2	5	14
